Rang,Abs. Frekv.,Promille,Kumulert,Ord
796,1656,0.11,629.43,fremdeles
797,1656,0.11,629.55,vist
798,1654,0.11,629.66,tale
799,1653,0.11,629.77,brev
800,1649,0.11,629.88,lars
801,1648,0.11,630,n
802,1648,0.11,630.11,steder
803,1647,0.11,630.22,kl
804,1645,0.11,630.34,reise
805,1643,0.11,630.45,skjedd
806,1643,0.11,630.56,trekke
807,1638,0.11,630.67,styrke
808,1638,0.11,630.79,uttrykk
809,1637,0.11,630.9,vesentlig
810,1636,0.11,631.01,viss
811,1634,0.11,631.12,ungdom
812,1630,0.11,631.23,arbeiderpartiet
813,1629,0.11,631.35,interesse
814,1628,0.11,631.46,vann
815,1627,0.11,631.57,utviklet
816,1626,0.11,631.68,februar
817,1626,0.11,631.79,slå
818,1626,0.11,631.9,såkalte
819,1623,0.11,632.01,programvare
820,1621,0.11,632.13,gunnar
821,1618,0.11,632.24,flertall
822,1616,0.11,632.35,problem
823,1609,0.11,632.46,new
824,1608,0.11,632.57,31
825,1608,0.11,632.68,tenkte
826,1604,0.11,632.79,enhver
827,1601,0.11,632.9,russland
828,1597,0.11,633.01,kunder
829,1595,0.11,633.12,nt
830,1594,0.11,633.23,bok
831,1592,0.11,633.33,forsøk
832,1592,0.11,633.44,kunde
833,1592,0.11,633.55,redusert
834,1591,0.11,633.66,lønn
835,1590,0.11,633.77,valgt
836,1589,0.11,633.88,tyskland
837,1585,0.11,633.99,tap
838,1585,0.11,634.1,utover
